,Año,Trimestre,Provincia,HASTA 512 kbps,+ 512 Kbps - 1 Mbps,+ 1 Mbps - 6 Mbps,+ 6 Mbps - 10 Mbps,+ 10 Mbps - 20 Mbps,+ 20 Mbps - 30 Mbps,+ 30 Mbps,OTROS,Total
290,2019,3,Catamarca,340,430,14449,9285,6333,720,15,2151.0,32382
291,2019,3,Chaco,690,1216,32764,28198,13336,12987,16740,6917.0,112227
292,2019,3,Chubut,740,8400,62680,13033,7171,124,614,45.0,90152
293,2019,3,Córdoba,830,5824,240151,106651,118486,146247,157546,7353.0,782341
294,2019,3,Corrientes,100,5970,42231,29628,10348,10388,12674,478.0,110656
295,2019,3,Entre Ríos,190,4446,99656,56161,17064,21216,22645,15107.0,236314
296,2019,3,Formosa,111,3490,24943,6049,7117,2262,4443,1000.0,46373
297,2019,3,Jujuy,270,8850,31722,924,26835,560,3671,16545.0,88981
298,2019,3,La Pampa,2370,3289,75849,5922,1611,1359,941,1618.0,90826
299,2019,3,La Rioja,90,100,38657,4786,4887,220,1307,0.0,49678
300,2019,3,Mendoza,210,1269,206821,2958,10093,1263,349,0.0,222774
301,2019,3,Misiones,470,1928,43530,29375,11256,16107,16650,12206.0,131099
302,2019,3,Neuquén,450,2258,62909,4586,9597,16923,28458,1220.0,124898
303,2019,3,Río Negro,470,1234,87435,2348,9779,10176,15505,17719.0,144243
304,2019,3,Salta,490,9000,43160,6223,14309,11418,12357,7515.0,151938
305,2019,3,San Juan,220,1710,68315,2245,1267,410,128,4779.0,76968
306,2019,3,San Luis,570,1000,18643,5113,4670,62242,5,36075.0,122702
307,2019,3,Santa Cruz,280,840,31612,4472,1203,270,4,0.0,37430
308,2019,3,Santa Fe,6400,8184,242454,193286,107068,84325,97082,19537.0,752576
309,2019,3,Santiago Del Estero,390,1832,35554,55172,3612,860,1836,34501.0,132632
310,2019,3,Tierra Del Fuego,60,140,32133,4692,1756,820,226,9648.0,48557
311,2019,3,Tucumán,160,1100,71043,47693,24354,8430,20385,0.0,164444
312,2019,2,Buenos Aires,199768,46852,1436259,217785,438663,502275,985767,43438.0,3870807
313,2019,2,Buenos Aires,740,1027,281370,124087,239691,296155,475991,,1418395
314,2019,2,Catamarca,340,430,16631,867,6049,340,10,2151.0,33622
